#           k/h    P           
   0.209052E-02   0.816176E+04
   0.213276E-02   0.830381E+04
   0.217584E-02   0.844787E+04
   0.221979E-02   0.859397E+04
   0.226464E-02   0.874210E+04
   0.231039E-02   0.889228E+04
   0.235706E-02   0.904451E+04
   0.240467E-02   0.919881E+04
   0.245325E-02   0.935516E+04
   0.250281E-02   0.951359E+04
   0.255337E-02   0.967410E+04
   0.260495E-02   0.983668E+04
   0.265758E-02   0.100013E+05
   0.271126E-02   0.101681E+05
   0.276603E-02   0.103369E+05
   0.282191E-02   0.105078E+05
   0.287892E-02   0.106808E+05
   0.293708E-02   0.108558E+05
   0.299641E-02   0.110329E+05
   0.305694E-02   0.112119E+05
   0.311870E-02   0.113930E+05
   0.318170E-02   0.115760E+05
   0.324597E-02   0.117609E+05
   0.331155E-02   0.119478E+05
   0.337844E-02   0.121365E+05
   0.344669E-02   0.123271E+05
   0.351632E-02   0.125196E+05
   0.358735E-02   0.127140E+05
   0.365982E-02   0.129102E+05
   0.373376E-02   0.131084E+05
   0.380918E-02   0.133085E+05
   0.388613E-02   0.135104E+05
   0.396464E-02   0.137144E+05
   0.404473E-02   0.139202E+05
   0.412644E-02   0.141280E+05
   0.420980E-02   0.143376E+05
   0.429484E-02   0.145488E+05
   0.438160E-02   0.147614E+05
   0.447012E-02   0.149753E+05
   0.456042E-02   0.151901E+05
   0.465255E-02   0.154056E+05
   0.474653E-02   0.156216E+05
   0.484242E-02   0.158379E+05
   0.494024E-02   0.160540E+05
   0.504004E-02   0.162699E+05
   0.514186E-02   0.164854E+05
   0.524573E-02   0.167006E+05
   0.535170E-02   0.169158E+05
   0.545981E-02   0.171310E+05
   0.557011E-02   0.173463E+05
   0.568263E-02   0.175620E+05
   0.579743E-02   0.177783E+05
   0.591455E-02   0.179952E+05
   0.603403E-02   0.182131E+05
   0.615592E-02   0.184320E+05
   0.628028E-02   0.186519E+05
   0.640715E-02   0.188726E+05
   0.653658E-02   0.190937E+05
   0.666863E-02   0.193149E+05
   0.680335E-02   0.195361E+05
   0.694078E-02   0.197568E+05
   0.708100E-02   0.199768E+05
   0.722404E-02   0.201957E+05
   0.736998E-02   0.204132E+05
   0.751886E-02   0.206288E+05
   0.767075E-02   0.208425E+05
   0.782571E-02   0.210540E+05
   0.798380E-02   0.212632E+05
   0.814509E-02   0.214700E+05
   0.830963E-02   0.216741E+05
   0.847750E-02   0.218754E+05
   0.864875E-02   0.220738E+05
   0.882347E-02   0.222691E+05
   0.900171E-02   0.224611E+05
   0.918356E-02   0.226496E+05
   0.936908E-02   0.228346E+05
   0.955835E-02   0.230156E+05
   0.975144E-02   0.231926E+05
   0.994843E-02   0.233653E+05
   0.101494E-01   0.235334E+05
   0.103544E-01   0.236967E+05
   0.105636E-01   0.238550E+05
   0.107770E-01   0.240081E+05
   0.109947E-01   0.241557E+05
   0.112168E-01   0.242975E+05
   0.114434E-01   0.244333E+05
   0.116746E-01   0.245626E+05
   0.119104E-01   0.246850E+05
   0.121510E-01   0.248001E+05
   0.123965E-01   0.249075E+05
   0.126469E-01   0.250068E+05
   0.129024E-01   0.250975E+05
   0.131631E-01   0.251794E+05
   0.134290E-01   0.252519E+05
   0.137003E-01   0.253147E+05
   0.139770E-01   0.253678E+05
   0.142594E-01   0.254113E+05
   0.145474E-01   0.254455E+05
   0.148413E-01   0.254706E+05
   0.151411E-01   0.254868E+05
   0.154470E-01   0.254943E+05
   0.157590E-01   0.254933E+05
   0.160774E-01   0.254842E+05
   0.164022E-01   0.254671E+05
   0.167335E-01   0.254423E+05
   0.170716E-01   0.254092E+05
   0.174164E-01   0.253668E+05
   0.177683E-01   0.253141E+05
   0.181272E-01   0.252501E+05
   0.184934E-01   0.251738E+05
   0.188670E-01   0.250844E+05
   0.192481E-01   0.249810E+05
   0.196370E-01   0.248627E+05
   0.200337E-01   0.247287E+05
   0.204384E-01   0.245783E+05
   0.208513E-01   0.244117E+05
   0.212725E-01   0.242296E+05
   0.217022E-01   0.240329E+05
   0.221406E-01   0.238222E+05
   0.225879E-01   0.235984E+05
   0.230442E-01   0.233623E+05
   0.235097E-01   0.231146E+05
   0.239847E-01   0.228561E+05
   0.244692E-01   0.225877E+05
   0.249635E-01   0.223100E+05
   0.254678E-01   0.220242E+05
   0.259823E-01   0.217314E+05
   0.265072E-01   0.214325E+05
   0.270426E-01   0.211287E+05
   0.275889E-01   0.208209E+05
   0.281463E-01   0.205101E+05
   0.287149E-01   0.201972E+05
   0.292949E-01   0.198831E+05
   0.298867E-01   0.195687E+05
   0.304905E-01   0.192545E+05
   0.311064E-01   0.189407E+05
   0.317348E-01   0.186267E+05
   0.323759E-01   0.183121E+05
   0.330299E-01   0.179964E+05
   0.336972E-01   0.176794E+05
   0.343779E-01   0.173606E+05
   0.350724E-01   0.170397E+05
   0.357809E-01   0.167166E+05
   0.365038E-01   0.163911E+05
   0.372412E-01   0.160630E+05
   0.379935E-01   0.157342E+05
   0.387610E-01   0.154073E+05
   0.395440E-01   0.150847E+05
   0.403429E-01   0.147687E+05
   0.411579E-01   0.144614E+05
   0.419893E-01   0.141646E+05
   0.428375E-01   0.138801E+05
   0.437029E-01   0.136094E+05
   0.445858E-01   0.133539E+05
